City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Qaanaaq,GL,2020-10-21 19:32:26,77.48,-69.36,18.86,81,100,6.31
61,Wajir,KE,2020-10-21 19:32:27,1.75,40.06,87.8,48,5,19.13
62,Nisia Floresta,BR,2020-10-21 19:32:27,-6.09,-35.21,77.0,94,75,11.41
63,Xambioa,BR,2020-10-21 19:32:28,-6.41,-48.54,97.27,31,93,4.16
64,Ilulissat,GL,2020-10-21 19:28:28,69.22,-51.1,30.2,63,75,4.7
65,Torbay,CA,2020-10-21 19:32:29,47.67,-52.73,55.0,76,75,10.29
66,Saint-Philippe,RE,2020-10-21 19:32:29,-21.36,55.77,75.2,69,32,16.11
67,Antofagasta,CL,2020-10-21 19:28:52,-23.65,-70.4,62.6,72,75,17.22
68,Busselton,AU,2020-10-21 19:32:30,-33.65,115.33,51.01,70,2,10.89
69,Manacapuru,BR,2020-10-21 19:32:30,-3.3,-60.62,82.4,83,75,4.7
70,San Luis,AR,2020-10-21 19:27:41,-33.3,-66.34,71.78,50,77,6.35
71,Andenes,NO,2020-10-21 19:32:32,69.31,16.12,33.8,69,0,14.99
72,Santa Cruz,BO,2020-10-21 19:31:52,-17.8,-63.17,90.37,40,90,3.04
73,Bereda,ES,2020-10-21 19:29:58,43.27,-7.54,55.0,93,14,5.01
74,Arraial Do Cabo,BR,2020-10-21 19:32:33,-22.97,-42.03,78.8,74,20,18.34
75,Turkistan,KZ,2020-10-21 19:32:33,43.0,68.0,53.94,50,96,15.03
76,Pauini,BR,2020-10-21 19:32:34,-7.71,-66.98,82.8,72,100,5.88
77,Nuuk,GL,2020-10-21 19:29:45,64.18,-51.72,32.0,93,75,4.7
78,Hobyo,SO,2020-10-21 19:32:34,5.35,48.53,79.75,84,6,19.33
79,Misratah,LY,2020-10-21 19:32:35,32.38,15.09,71.35,63,0,12.12
80,Clyde River,CA,2020-10-21 19:32:36,70.47,-68.59,21.2,73,1,4.7
81,Wad Rawah,SD,2020-10-21 19:32:36,15.16,33.14,87.4,12,0,12.01
82,Comodoro Rivadavia,AR,2020-10-21 19:32:37,-45.87,-67.5,51.8,93,75,6.93
83,Khandela,IN,2020-10-21 19:32:37,27.6,75.5,73.45,46,22,4.94
84,Ayagoz,KZ,2020-10-21 19:30:36,47.97,80.44,49.5,45,0,19.15
85,Pozo Colorado,PY,2020-10-21 19:32:38,-23.49,-58.8,85.48,55,96,4.52
86,Hearst,CA,2020-10-21 19:32:39,49.68,-83.67,36.05,84,100,3.29
87,Saint-Augustin,CA,2020-10-21 19:32:39,51.23,-58.65,43.81,58,51,5.73
88,Havre-Saint-Pierre,CA,2020-10-21 19:32:40,50.23,-63.6,39.2,64,90,6.93
89,Los Llanos De Aridane,ES,2020-10-21 19:32:40,28.66,-17.92,71.6,73,40,4.7
90,Havoysund,NO,2020-10-21 19:32:41,71.0,24.66,33.8,80,75,11.41
91,Ponta Do Sol,PT,2020-10-21 19:29:13,32.67,-17.1,66.2,55,40,10.29
92,Mantua,IT,2020-10-21 19:32:41,45.17,10.78,55.0,92,3,1.01
93,Saint-Pierre,RE,2020-10-21 19:32:42,-21.34,55.48,75.2,69,19,16.11
94,Chuy,UY,2020-10-21 19:32:42,-33.7,-53.46,60.87,69,39,15.14
95,Bengkulu,ID,2020-10-21 19:32:43,-3.8,102.27,77.56,84,100,5.55
96,Cockburn Town,TC,2020-10-21 19:32:43,21.46,-71.14,78.8,83,75,11.41
97,Elliot,ZA,2020-10-21 19:32:44,-31.33,27.85,53.49,82,95,3.49
98,Xapuri,BR,2020-10-21 19:32:45,-10.65,-68.5,89.33,51,85,0.43
99,Matay,EG,2020-10-21 19:32:45,28.42,30.78,78.19,33,0,8.75
100,Atar,MR,2020-10-21 19:32:46,20.52,-13.05,95.0,28,56,6.93
101,Mahebourg,MU,2020-10-21 19:29:02,-20.41,57.7,75.2,73,40,10.29
102,Alta Floresta,BR,2020-10-21 19:32:46,-9.88,-56.09,86.85,50,81,3.69
103,Labrea,BR,2020-10-21 19:29:59,-7.26,-64.8,92.25,47,100,1.14
104,Rodrigues Alves,BR,2020-10-21 19:32:47,-7.74,-72.65,86.4,64,99,1.12
105,Vila Franca Do Campo,PT,2020-10-21 19:32:48,37.72,-25.43,59.0,77,40,9.17
106,Namibe,AO,2020-10-21 19:32:48,-15.2,12.15,70.21,81,100,4.21
107,Harbour Breton,CA,2020-10-21 19:32:49,47.48,-55.8,55.99,100,87,5.01
108,Sur,OM,2020-10-21 19:32:49,22.57,59.53,74.25,64,99,1.05
109,Balykshi,KZ,2020-10-21 19:32:50,47.07,51.87,39.2,51,100,6.71
110,Bubaque,GW,2020-10-21 19:32:50,11.28,-15.83,82.22,81,94,11.36
111,Coquimbo,CL,2020-10-21 19:29:04,-29.95,-71.34,59.0,72,20,12.75
112,San Cristobal,VE,2020-10-21 19:32:51,7.77,-72.22,96.8,32,40,13.87
113,Dalhousie,IN,2020-10-21 19:32:51,32.53,75.98,50.7,45,0,8.34
114,Lebyazhye,RU,2020-10-21 19:32:52,55.27,66.49,33.49,90,0,8.9
115,Porto Novo,BJ,2020-10-21 19:32:52,6.5,2.6,80.6,88,40,9.17
116,Piano Di Sorrento,IT,2020-10-21 19:32:53,40.63,14.42,60.8,67,5,1.12
117,Omboue,GA,2020-10-21 19:32:53,-1.57,9.26,77.22,87,100,5.37
118,Salalah,OM,2020-10-21 19:32:53,17.02,54.09,82.4,83,20,2.24
119,Bandarbeyla,SO,2020-10-21 19:32:54,9.49,50.81,80.37,67,2,1.39
120,Port-Gentil,GA,2020-10-21 19:32:54,-0.72,8.78,78.8,88,20,6.93
121,Quirinopolis,BR,2020-10-21 19:32:55,-18.45,-50.45,88.47,42,58,3.67
122,Marrakesh,MA,2020-10-21 19:32:14,31.63,-8.01,68.0,72,75,8.05
123,Jalu,LY,2020-10-21 19:28:11,29.03,21.55,68.7,40,0,8.59
124,Kangaatsiaq,GL,2020-10-21 19:32:56,68.31,-53.46,31.59,95,98,6.82
125,Bambous Virieux,MU,2020-10-21 19:32:57,-20.34,57.76,75.2,73,40,10.29
126,Toamasina,MG,2020-10-21 19:32:57,-18.17,49.38,69.8,94,40,2.24
127,Hithadhoo,MV,2020-10-21 19:30:53,-0.6,73.08,82.54,76,27,15.9
128,Yar-Sale,RU,2020-10-21 19:32:58,66.83,70.83,19.89,97,97,12.57
129,Oksfjord,NO,2020-10-21 19:32:59,70.24,22.35,33.8,69,20,16.11
130,Rosetta,EG,2020-10-21 19:32:59,31.4,30.42,73.4,64,20,5.82
131,Kamenka,RU,2020-10-21 19:33:00,51.32,42.77,36.0,86,100,6.82
132,Ardesen,TR,2020-10-21 19:33:00,41.19,40.99,59.0,93,20,8.05
133,Ugoofaaru,MV,2020-10-21 19:33:01,5.67,73.0,81.9,78,92,12.59
134,Lokoja,NG,2020-10-21 19:33:02,7.8,6.74,79.27,78,13,2.24
135,Hamilton,US,2020-10-21 19:33:02,39.18,-84.53,69.01,82,90,4.7
136,Plouzane,FR,2020-10-21 19:31:52,48.38,-4.62,55.4,87,90,11.41
137,Pindi Gheb,PK,2020-10-21 19:33:03,33.24,72.27,57.2,71,0,2.57
138,Narsaq,GL,2020-10-21 19:33:03,60.92,-46.05,32.0,93,75,0.76
139,Minsk,BY,2020-10-21 19:29:02,53.9,27.57,44.6,93,90,4.47
140,Knysna,ZA,2020-10-21 19:33:04,-34.04,23.05,57.2,93,0,3.36
141,Distraccion,CO,2020-10-21 19:33:05,10.9,-72.89,84.38,74,69,4.07
142,Xacmaz,AZ,2020-10-21 19:33:05,41.46,48.81,52.81,86,41,1.9
143,Codrington,AU,2020-10-21 19:33:06,-38.27,141.97,43.59,91,53,5.5
144,Oussouye,SN,2020-10-21 19:33:06,12.48,-16.55,86.0,74,20,4.7
145,Panaba,MX,2020-10-21 19:33:07,21.28,-88.27,84.36,79,47,8.7
146,Dodoma,TZ,2020-10-21 19:33:07,-6.17,35.74,75.2,53,20,28.86
147,Bathsheba,BB,2020-10-21 19:33:08,13.22,-59.52,87.8,66,20,12.75
148,Nacala,MZ,2020-10-21 19:33:08,-14.54,40.67,74.53,86,0,1.48
149,Leninsk-Kuznetskiy,RU,2020-10-21 19:33:09,54.66,86.17,39.2,55,100,8.95
150,Scarborough,GB,2020-10-21 19:29:28,54.28,-0.4,54.0,90,100,4.0
151,Caravelas,BR,2020-10-21 19:33:10,-17.71,-39.25,77.04,75,100,7.81
152,Muzhi,RU,2020-10-21 19:33:11,65.37,64.67,19.15,97,94,6.15
153,Olafsvik,IS,2020-10-21 19:33:11,64.89,-23.71,40.19,93,100,27.63
154,West Lorne,CA,2020-10-21 19:29:50,42.6,-81.6,61.0,64,69,5.01
155,Guatire,VE,2020-10-21 19:33:13,10.48,-66.54,84.36,69,87,2.71
156,Soyaux,FR,2020-10-21 19:33:13,45.65,0.2,61.0,87,100,3.36
157,Contamana,PE,2020-10-21 19:33:14,-7.33,-75.02,88.63,49,41,4.38
158,Maneromango,TZ,2020-10-21 19:33:14,-7.2,38.78,78.8,78,20,4.7
159,Sheboygan,US,2020-10-21 19:33:15,43.73,-87.93,50.0,61,1,9.17
160,Zemio,CF,2020-10-21 19:33:16,5.03,25.14,71.92,91,100,0.96
161,Maracaibo,VE,2020-10-21 19:31:14,10.63,-71.64,88.43,59,20,2.73
162,Great Yarmouth,GB,2020-10-21 19:32:07,52.61,1.73,55.99,99,94,8.01
163,Kruszwica,PL,2020-10-21 19:33:18,52.68,18.33,53.01,83,100,8.01
164,Olinda,BR,2020-10-21 19:30:42,-8.01,-34.86,82.4,69,40,16.11
165,Ismailia,EG,2020-10-21 19:33:20,30.6,32.27,70.48,86,0,6.17
166,Bahia Blanca,AR,2020-10-21 19:29:31,-38.72,-62.27,71.06,23,71,12.37
167,Longyearbyen,SJ,2020-10-21 19:33:21,78.22,15.64,17.6,78,20,3.36
168,Pasni,PK,2020-10-21 19:33:22,25.26,63.47,78.31,28,45,12.33
169,Barth,DE,2020-10-21 19:33:23,54.36,12.72,57.99,71,40,11.41
170,Jaru,BR,2020-10-21 19:33:24,-10.44,-62.47,90.28,48,100,0.89
171,Lixourion,GR,2020-10-21 19:33:26,38.2,20.43,66.94,63,0,10.29
172,Oranjestad,AW,2020-10-21 19:33:27,12.52,-70.03,89.6,75,20,16.11
173,Serenje,ZM,2020-10-21 19:33:27,-13.23,30.24,71.96,40,30,8.1
174,Sao Filipe,CV,2020-10-21 19:33:15,14.9,-24.5,83.34,63,89,4.94
175,Mungwi,ZM,2020-10-21 19:33:28,-10.17,31.37,71.02,47,87,3.53
176,Saint Anthony,US,2020-10-21 19:33:29,45.02,-93.22,36.0,64,90,5.82
177,Laguna,US,2020-10-21 19:29:19,38.42,-121.42,82.0,28,1,3.36
178,Port Blair,IN,2020-10-21 19:32:08,11.67,92.75,80.78,83,71,10.85
179,Cochabamba,BO,2020-10-21 19:33:30,-17.39,-66.16,77.0,27,40,9.17
180,Areosa,PT,2020-10-21 19:33:31,41.72,-8.86,60.01,93,20,9.17
181,Calbuco,CL,2020-10-21 19:32:44,-41.77,-73.13,57.2,54,0,12.75
182,Saint-Leu,RE,2020-10-21 19:33:31,-21.15,55.28,75.2,69,7,16.11
183,Qaqortoq,GL,2020-10-21 19:33:32,60.72,-46.03,32.0,89,75,5.23
184,Itarema,BR,2020-10-21 19:33:32,-2.92,-39.92,81.97,72,86,17.0
185,Upernavik,GL,2020-10-21 19:33:33,72.79,-56.15,26.92,95,100,7.02
186,Kyabe,TD,2020-10-21 19:33:33,9.45,18.94,77.32,75,78,4.29
187,San Martin,AR,2020-10-21 19:33:33,-33.08,-68.47,69.8,52,75,6.93
188,Acarau,BR,2020-10-21 19:33:34,-2.89,-40.12,82.6,70,83,18.39
189,Beroroha,MG,2020-10-21 19:33:34,-21.67,45.17,76.12,45,23,1.36
190,Jesus De Otoro,HN,2020-10-21 19:33:35,14.48,-87.98,84.34,50,100,4.41
191,Port Elizabeth,ZA,2020-10-21 19:28:59,-33.92,25.57,62.6,88,0,6.93
192,Vila Velha,BR,2020-10-21 19:33:36,-20.33,-40.29,80.01,83,75,8.05
193,Mezhdurechenskiy,RU,2020-10-21 19:33:36,59.6,65.93,28.08,99,47,4.47
194,Pafos,CY,2020-10-21 19:33:36,34.77,32.42,68.0,64,0,8.05
195,Chebarkul,RU,2020-10-21 19:33:37,54.97,60.36,29.03,95,50,6.11
196,Kavaratti,IN,2020-10-21 19:33:37,10.57,72.64,80.89,78,100,14.56
197,Akropong,GH,2020-10-21 19:33:38,5.97,-0.09,80.6,88,20,13.87
198,Mizdah,LY,2020-10-21 19:33:38,31.45,12.98,63.43,47,0,12.37
199,Peniche,PT,2020-10-21 19:33:39,39.36,-9.38,62.01,86,67,1.01
200,Luderitz,NA,2020-10-21 19:33:26,-26.65,15.16,62.44,61,0,17.18
201,Grindavik,IS,2020-10-21 19:33:39,63.84,-22.43,41.0,80,75,21.92
202,Nanortalik,GL,2020-10-21 19:33:40,60.14,-45.24,33.76,88,100,14.27
203,Hofn,IS,2020-10-21 19:29:43,64.25,-15.21,32.0,77,75,3.36
204,Barra Do Corda,BR,2020-10-21 19:33:41,-5.5,-45.25,99.0,22,80,2.53
205,Kjollefjord,NO,2020-10-21 19:33:41,70.95,27.35,33.8,80,75,11.41
206,Sao Joao Da Barra,BR,2020-10-21 19:30:07,-21.64,-41.05,80.6,65,20,16.11
207,Novyye Burasy,RU,2020-10-21 19:33:42,52.13,46.07,37.0,50,100,4.0
208,Salinopolis,BR,2020-10-21 19:30:18,-0.61,-47.36,82.9,70,55,13.15
209,Lethem,GY,2020-10-21 19:33:43,3.38,-59.8,94.98,39,92,5.5
210,Cape Town,ZA,2020-10-21 19:28:48,-33.93,18.42,60.01,82,0,16.11
211,Trelleborg,SE,2020-10-21 19:33:44,55.38,13.16,54.0,93,90,14.99
212,Lulea,SE,2020-10-21 19:33:44,65.58,22.15,33.8,97,90,9.17
213,Meulaboh,ID,2020-10-21 19:33:45,4.14,96.13,77.2,85,98,4.92
214,Ballina,AU,2020-10-21 19:33:45,-28.87,153.57,62.01,93,90,3.36
215,Gazanjyk,TM,2020-10-21 19:33:46,39.24,55.52,55.85,39,86,9.22
216,Caririacu,BR,2020-10-21 19:33:46,-7.04,-39.28,92.17,23,72,5.46
217,Am Timan,TD,2020-10-21 19:33:46,11.03,20.28,78.01,42,97,3.67
218,Sydney Mines,CA,2020-10-21 19:33:47,46.24,-60.22,51.01,81,90,5.82
219,Medzilaborce,SK,2020-10-21 19:33:47,49.27,21.9,50.0,77,100,7.0
220,Ilhabela,BR,2020-10-21 19:31:01,-23.78,-45.36,74.59,81,18,5.82
221,Plattsburgh,US,2020-10-21 19:33:49,44.7,-73.45,66.0,77,75,17.22
