City_ID,City,Country,Max_Temp,Weather_Description,Lat,Lng,Hotel Name
1039,port alfred,ZA,68.09,overcast clouds,-33.59,26.89,The Halyards Hotel
1040,ponta delgada,PT,60.8,broken clouds,37.73,-25.67,Vila Nova Hotel
1041,goba,ET,46.62,overcast clouds,7.02,39.98,Goba Wabe Shebelle Hotel
1043,chuy,UY,60.96,overcast clouds,-33.7,-53.46,Nuevo Hotel Plaza
1046,shubarkuduk,KZ,26.1,scattered clouds,49.14,56.49,
1047,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1048,ribeira grande,PT,64.6,few clouds,38.52,-28.7,Quinta da Meia Eira
1051,chuy,UY,60.96,overcast clouds,-33.7,-53.46,Nuevo Hotel Plaza
1052,port alfred,ZA,68.09,overcast clouds,-33.59,26.89,The Halyards Hotel
1053,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1054,albany,US,57.99,overcast clouds,42.6,-73.97,
1055,hermanus,ZA,63.0,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
1057,boguchany,RU,34.83,broken clouds,58.38,97.45,Uyut
1058,ziezmariai,LT,51.8,clear sky,54.8,24.45,Dalios kaimo sodyba
1061,punta arenas,CL,42.8,clear sky,-53.15,-70.92,Hotel Dreams Del Estrecho
1062,bluff,NZ,64.0,light rain,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
1065,albany,US,57.99,overcast clouds,42.6,-73.97,
1066,hermanus,ZA,63.0,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
1068,cuiluan,CN,35.98,clear sky,47.72,128.65,Shuncheng Hotel
1070,hobart,AU,68.0,broken clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
1073,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1074,sakakah,SA,64.4,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
1075,sakakah,SA,64.4,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
1077,lebu,CL,47.34,clear sky,-37.62,-73.65,Hostal Las Lilas
1078,bredasdorp,ZA,64.4,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
1080,maarianhamina,AX,50.0,overcast clouds,60.1,19.93,Park Alandia Hotel
1081,jamestown,US,60.8,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
1082,palmer,US,68.0,broken clouds,42.16,-72.33,Wedgewood Motel
1084,bani walid,LY,57.06,clear sky,31.76,13.99,منزل الصابر أبوفانة
1087,punta arenas,CL,42.8,clear sky,-53.15,-70.92,Hotel Dreams Del Estrecho
1089,nanortalik,GL,28.72,few clouds,60.14,-45.24,"NTS Rooms, Nanortalik"
1090,salisbury,GB,55.0,light rain,51.07,-1.8,Mercure Salisbury White Hart Hotel
1092,punta arenas,CL,42.8,clear sky,-53.15,-70.92,Hotel Dreams Del Estrecho
1095,tasiilaq,GL,37.4,overcast clouds,65.61,-37.64,The Red House
1100,tilichiki,RU,39.22,scattered clouds,60.47,166.1,
1101,barrow,US,33.8,mist,71.29,-156.79,King Eider Inn
1102,tasiilaq,GL,37.4,overcast clouds,65.61,-37.64,The Red House
1104,albany,US,57.99,overcast clouds,42.6,-73.97,
1105,huarmey,PE,62.96,broken clouds,-10.07,-78.15,Hotel Miramar
1107,los llanos de aridane,ES,68.0,few clouds,28.66,-17.92,Valle Aridane
1109,shingu,JP,64.4,broken clouds,33.73,135.98,Shingu UI Hotel
1110,east london,ZA,67.42,broken clouds,-33.02,27.91,Tu Casa
1112,barrow,US,33.8,mist,71.29,-156.79,King Eider Inn
1114,mataura,NZ,64.0,moderate rain,-46.19,168.86,Ellie's Villa
1115,sfantu gheorghe,RO,42.49,clear sky,45.87,25.78,Hotel Park Sfantu Gheorghe
1116,sabzevar,IR,48.33,clear sky,36.21,57.68,پارکینگ وسایل سنگین جنوب
1117,coihaique,CL,42.8,clear sky,-45.58,-72.07,Diego De Almagro Coyhaique
